"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","CZK","Czech Koruna","6","millions",,,47907,,
"CZE","Czech Republic","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","CZK","Czech Koruna","6","millions",,,45800,,
"CZE","Czech Republic","P311B","Durable goods","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","CZK","Czech Koruna","6","millions",,,55633,,
"CZE","Czech Republic","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","CZK","Czech Koruna","6","millions",,,45180,,
"CZE","Czech Republic","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q1","Q1-2015","CZK","Czech Koruna","6","millions",,,44311,,
"CZE","Czech Republic","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q2","Q2-2015","CZK","Czech Koruna","6","millions",,,45719,,
"CZE","Czech Republic","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q3","Q3-2015","CZK","Czech Koruna","6","millions",,,48433,,
"CZE","Czech Republic","P311B","Durable goods","CQRSA","National currency, current prices, quarterly levels, seasonally adjusted","Q","Quarterly","2015-Q4","Q4-2015","CZK","Czech Koruna","6","millions",,,48456,,
"CZE","Czech Republic","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2014-Q4","Q4-2014","CZK","Czech Koruna","6","millions","2010","2010",59319,,
"CZE","Czech Republic","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q1","Q1-2015","CZK","Czech Koruna","6","millions","2010","2010",42288,,
"CZE","Czech Republic","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q2","Q2-2015","CZK","Czech Koruna","6","millions","2010","2010",53962,,
"CZE","Czech Republic","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q3","Q3-2015","CZK","Czech Koruna","6","millions","2010","2010",51860,,
"CZE","Czech Republic","P311B","Durable goods","LNBQR","National currency, chained volume estimates, national reference year, quarterly levels","Q","Quarterly","2015-Q4","Q4-2015","CZK","Czech Koruna","6","millions","2010","2010",63466,,
"CZE","Czech Republic","P311B","Durable goods","LNBQRSA","National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted","Q","Quarterly","2014-Q4","Q4-2014","CZK","Czech Koruna","6","millions","2010","2010",51151,,
